학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000006438,여천초등학교,초등학교,1949-11-28,공립,본교,운영,전라남도 여수시 주삼동 793,전라남도 여수시 주동1길 30 (주삼동. 여천초등학교),8490000,전라남도교육청,8511000,전라남도여수교육지원청,2013-11-29,2022-10-06,34.78812434,127.6545391,2023-03-22
B000005369,동화초등학교,초등학교,1963-09-13,공립,본교,운영,충청북도 청주시 상당구 남일면 화당리 361-1,충청북도 청주시 상당구 남일면 척산화당로 539 (남일면.동화초등학교),8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2022-10-06,36.54734078,127.4922603,2023-03-22
B000005847,가남초등학교,초등학교,1940-06-10,공립,본교,운영,충청남도 청양군 비봉면 록평리 29,충청남도 청양군 비봉면 충절로 1962-7 . 가남초등학교 (비봉면. 가남초등학교),8140000,충청남도교육청,8251000,충청남도청양교육지원청,2013-11-29,2022-10-06,36.51658243,126.7888904,2023-03-22
B000025306,새별초등학교,초등학교,2014-03-01,공립,본교,운영,광주광역시 광산구 흑석동 521,광주광역시 광산구 풍영로 125 (흑석동),7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2022-10-06,35.18286121,126.8123108,2023-03-22
B000002111,서울후암초등학교,초등학교,1949-10-08,공립,본교,운영,서울특별시 용산구 후암동 30-138,서울특별시 용산구 두텁바위로 140 . 서울후암초등학교 (후암동),7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2022-10-06,37.55136541,126.9817243,2023-03-22
B000006089,이리신흥초등학교,초등학교,1957-04-15,공립,본교,운영,전라북도 익산시 금강동 349-1,전라북도 익산시 하나로3길 10 . 이리신흥초등학교 (금강동. 신흥초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2022-10-06,35.93481066,126.9790026,2023-03-22
B000005048,삼생초등학교,초등학교,1941-10-02,공립,본교,운영,강원도 홍천군 서석면 생곡리 683-1,강원도 홍천군 서석면 구룡령로 2933 (서석면. 삼생초등학교),7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2022-10-06,37.70045827,128.2264767,2023-03-22
B000007993,광양초등학교,초등학교,1951-10-15,공립,본교,운영,제주특별자치도 제주시 이도일동 1257-1,제주특별자치도 제주시 돈내길 5 (이도일동),9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2022-10-06,33.50251511,126.5301971,2023-03-22
B000002942,대구금계초등학교,초등학교,1966-03-01,공립,본교,운영,대구광역시 달성군 옥포읍 교항리 1503,대구광역시 달성군 옥포읍 금계길 55 (옥포읍. 대구금계초등학교),7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2013-11-29,2022-10-06,35.78888934,128.443749,2023-03-22
B000007691,김해신안초등학교,초등학교,2004-09-01,공립,본교,운영,경상남도 김해시 관동동 426,경상남도 김해시 팔판로 8 (관동동. 신안초등학교),9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2022-10-06,35.17892804,128.7903314,2023-03-22
B000004327,김포서초등학교,초등학교,1993-03-04,공립,본교,운영,경기도 김포시 북변동 687,경기도 김포시 봉화로 188 (북변동),7530000,경기도교육청,7771000,경기도김포교육지원청,2013-11-29,2022-10-06,37.6290236,126.7017278,2023-03-22
B000007452,팔룡초등학교,초등학교,1980-09-16,공립,본교,운영,경상남도 창원시 마산회원구 합성동 17-4,경상남도 창원시 마산회원구 학교단지로 31 . 팔룡초등학교 (합성동),9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2022-10-06,35.24223175,128.5939532,2023-03-22
B000002056,서울계상초등학교,초등학교,1983-11-16,공립,본교,운영,서울특별시 노원구 상계동 447-1,서울특별시 노원구 한글비석로41가길 24 (상계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.66219777,127.0686777,2023-03-22
B000007901,묵계초등학교,초등학교,1942-04-01,공립,본교,운영,경상남도 하동군 청암면 묵계리 550,경상남도 하동군 청암면 청학로 2220 (청암면. 묵계초등학교),9010000,경상남도교육청,9181000,경상남도하동교육지원청,2013-11-29,2022-10-06,35.22850929,127.7351595,2023-03-22
B000004338,고촌초등학교,초등학교,1934-05-20,공립,본교,운영,경기도 김포시 고촌읍 신곡리 1101,경기도 김포시 고촌읍 신곡로29번길 30 . 고촌초등학교 (고촌읍),7530000,경기도교육청,7771000,경기도김포교육지원청,2013-11-29,2022-10-06,37.60612099,126.7733694,2023-03-22
B000006973,월성초등학교,초등학교,1927-04-09,공립,본교,운영,경상북도 경주시 노서동 35-1,경상북도 경주시 원효로 67 (노서동. 월성초등학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.84296322,129.208142,2023-03-22
B000006675,장흥남초등학교,초등학교,1938-05-24,공립,본교,운영,전라남도 장흥군 장흥읍 순지리 73,전라남도 장흥군 장흥읍 장흥대로 3298 . 장흥남초등학교 (장흥읍),8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2013-11-29,2022-10-06,34.66575882,126.889803,2023-03-22
B000002899,대구본리초등학교,초등학교,1944-03-01,공립,본교,운영,대구광역시 달서구 감삼동 338,대구광역시 달서구 장기로 198 (감삼동. 대구본리초등학교),7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2022-10-06,35.84457479,128.5386389,2023-03-22
